batsmanName,Position,Runs,Balls Faced,4s,6s,SR
Michael van Lingen,1,33,33,4,0,93.42
Divan la Cock,2,9,11,1,0,50
Jan Nicol Loftie-Eaton,3,21,20,1,2,61.11
Stephan Baard,3,49,52,3,0,87.12
Gerhard Erasmus(c),5,52,60,2,0,87.03
Jan Frylinck,5,101,93,6,1,109.69
David Wiese,7,66,42,4,3,124.26
JJ Smit,7,39,23,3,2,139.58
Pathum Nissanka,1,214,196,13,8,88.25
Kusal Mendis,2,223,156,17,10,126.74
Dhananjaya de Silva,3,177,137,15,4,92.78
Danushka Gunathilaka,4,0,1,0,0,0
Bhanuka Rajapaksa,5,125,105,14,2,118.14
Dasun Shanaka(c),6,78,74,6,3,70.42
Wanindu Hasaranga de Silva,7,25,34,2,0,72.22
Chamika Karunaratne,8,32,38,3,0,78.79
Pramod Madushan,9,1,1,0,0,50
Dushmantha Chameera,10,9,16,0,0,76.66
Maheesh Theekshana,10,11,14,0,1,33.33
Chirag Suri,2,26,39,4,0,66.84
Muhammad Waseem,1,93,92,2,5,86.39
Kashif Daud,6,15,18,0,1,53.57
Vriitya Aravind,4,48,71,3,0,67.11
Zawar Farid,5,2,4,0,0,50
Basil Hameed,6,31,24,3,2,103.97
Chundangapoyil Rizwan(c),5,45,34,3,1,77.2
Aayan Afzal Khan,8,24,28,1,0,80.94
Karthik Meiyappan,9,4,8,0,0,25
Junaid Siddique,10,18,17,1,1,56.25
Vikramjit Singh,1,57,62,5,2,65.95
Max O'Dowd,2,242,215,22,8,110.93
Bas de Leede,4,93,117,7,1,67.39
Colin Ackermann,4,165,149,13,4,72.16
Tom Cooper,4,107,103,7,3,81.72
Scott Edwards(c),6,91,104,8,0,87.89
Roelof van der Merwe,8,5,12,0,0,20.83
Tim Pringle,7,51,58,1,1,74.19
Logan van Beek,8,15,23,0,0,66.66
George Munsey,1,121,106,16,0,93.47
Michael Jones,2,110,77,10,4,118
Matthew Cross,3,32,33,5,0,69.2
Richie Berrington(c),4,66,56,3,2,112.66
Calum MacLeod,5,48,43,5,0,86.81
Michael Leask,6,33,28,4,0,110.25
Chris Greaves,7,19,18,2,0,94.15
Kyle Mayers,1,34,30,5,1,94.06
Evin Lewis,3,42,49,2,1,87.75
Brandon King,4,79,63,9,1,121.24
Nicholas Pooran(c),4,25,29,0,1,83.83
Shamarh Brooks,6,4,12,0,0,22.22
Rovman Powell,6,39,35,2,2,97.22
Jason Holder,7,42,36,4,1,124.24
Akeal Hosein,8,24,19,2,0,113.88
Alzarri Joseph,9,0,1,0,0,0
Odean Smith,9,25,22,1,2,90.28
Obed McCoy,11,2,3,0,0,66.66
Regis Chakabva,3,32,55,2,1,49.07
Craig Ervine(c),2,112,125,13,0,77.38
Wessly Madhevere,2,106,83,15,2,92.05
Sean Williams,4,155,137,14,2,95.42
Sikandar Raza,5,219,148,16,11,110.54
Milton Shumba,5,65,82,5,0,75.21
Ryan Burl,7,101,97,11,2,93.83
Luke Jongwe,8,55,41,6,1,101.7
Paul Stirling,1,170,127,16,6,117.52
Andy Balbirnie(c),2,153,123,10,9,101.45
Lorcan Tucker,3,204,163,19,4,114.83
Harry Tector,4,68,75,4,1,66.37
Curtis Campher,5,126,77,12,2,110.22
George Dockrell,6,100,83,10,1,84.21
Gareth Delany,7,69,54,7,1,131
Mark Adair,8,28,31,1,1,74
Simi Singh,9,7,9,1,0,43.75
Barry McCarthy,10,36,33,1,2,100.07
Josh Little,11,16,21,1,1,70.91
Charith Asalanka,4,131,113,9,2,91.52
Aryan Lakra,3,1,3,0,0,33.33
Zahoor Khan,11,1,1,0,0,100
Johnson Charles,2,69,54,6,3,129.16
Regis Chakabva(c),2,13,9,3,0,144.44
Tony Munyonga,4,7,10,1,0,79.16
Richard Ngarava,9,21,20,0,2,112.38
Tendai Chatara,10,13,19,1,0,74.4
Blessing Muzarabani,11,2,12,0,0,12.5
Timm van der Gugten,8,0,1,0,0,0
Fred Klaassen,10,10,11,0,0,54.16
Paul van Meekeren,11,45,27,6,1,126.19
Alishan Sharafu,4,4,4,0,0,100
Zane Green,8,2,3,0,0,66.66
Ruben Trumpelmann,9,25,24,1,1,104.16
Bernard Scholtz,10,1,1,0,0,100
Josh Davey,8,4,3,0,0,133.33
Finn Allen,1,95,51,11,5,150.48
Devon Conway,2,145,124,12,2,81.36
Kane Williamson(c),3,178,153,11,5,109.07
Glenn Phillips,4,201,127,19,8,143.72
James Neesham,6,53,37,2,2,119.17
David Warner,1,44,41,6,0,93.76
Aaron Finch(c),2,107,97,6,5,111.72
Mitchell Marsh,3,106,81,8,6,127.65
Glenn Maxwell,4,118,73,11,6,161.21
Marcus Stoinis,5,126,78,7,9,159.2
Tim David,6,26,18,2,1,143.75
Matthew Wade,7,9,7,1,0,141.66
Pat Cummins,8,21,20,2,1,58.33
Mitchell Starc,9,4,7,0,0,57.14
Adam Zampa,10,1,3,0,0,50
Josh Hazlewood,11,1,1,0,0,100
Hazratullah Zazai,1,7,17,1,0,41.17
Rahmanullah Gurbaz,1,68,50,4,5,134.75
Ibrahim Zadran,3,80,83,6,2,100.33
Usman Ghani,3,59,64,5,1,76.19
Najibullah Zadran,5,31,29,1,1,76.89
Mohammad Nabi(c),6,17,15,1,0,90.83
Azmatullah Omarzai,8,11,10,1,0,104.16
Rashid Khan,8,57,32,4,4,107.06
Mujeeb Ur Rahman,9,1,3,0,0,25
Fareed Ahmad,10,2,4,0,0,50
Fazalhaq Farooqi,11,0,2,0,0,0
Jos Buttler(c),1,225,156,24,7,115.54
Alex Hales,2,212,144,19,10,125.77
Dawid Malan,5,56,68,2,0,151.53
Ben Stokes,4,110,104,7,1,92.41
Liam Livingstone,6,55,44,4,1,99.52
Harry Brook,5,56,58,2,1,120.53
Moeen Ali,6,57,46,6,1,105.9
Mohammad Rizwan,1,175,160,15,3,98.02
Babar Azam(c),2,124,133,13,0,68.67
Shan Masood,4,175,148,12,1,104.29
Iftikhar Ahmed,5,114,93,6,6,71.29
Shadab Khan,6,98,58,7,5,130.66
Haider Ali,6,2,5,0,0,25
Mohammad Nawaz,6,68,64,7,2,101.45
Asif Ali,8,2,3,0,0,66.66
Shaheen Shah Afridi,9,22,12,2,1,155.55
Haris Rauf,10,10,7,0,1,133.33
KL Rahul,1,128,106,8,8,98.54
Rohit Sharma(c),2,116,109,11,4,89.5
Virat Kohli,3,296,217,25,8,129.86
Suryakumar Yadav,4,239,126,26,9,182.58
Axar Patel,6,9,9,1,0,61.11
Hardik Pandya,6,128,97,7,7,109.8
Dinesh Karthik,7,14,22,1,0,76.67
Ravichandran Ashwin,8,21,18,1,1,95.07
Najmul Hossain Shanto,1,180,157,20,2,110.12
Soumya Sarkar,2,49,39,3,3,116.91
Litton Das,3,127,89,11,5,131.07
Shakib Al Hasan(c),4,44,46,3,0,65.22
Afif Hossain,5,95,76,6,3,98.67
Yasir Ali,6,5,9,0,0,64.44
Nurul Hasan,7,41,42,2,1,76.82
Mosaddek Hossain,7,38,39,2,2,96.42
Taskin Ahmed,8,23,30,2,1,62.56
Hasan Mahmud,10,0,5,0,0,0
Shariz Ahmad,9,25,19,3,0,128.98
Quinton de Kock,1,124,77,16,5,112.04
Temba Bavuma(c),2,70,62,6,2,97.89
Fionn Hand,9,12,11,2,0,105.55
Rilee Rossouw,3,141,83,9,9,110.72
Tristan Stubbs,5,31,31,2,1,100
Aiden Markram,4,99,79,13,1,122.83
David Miller,5,78,67,5,3,92.75
Wayne Parnell,7,5,13,0,0,28.75
Mehidy Hasan Miraz,6,11,13,0,0,84.61
Mustafizur Rahman,10,9,4,0,1,150
Brad Evans,8,21,17,0,1,113.33
Mohammad Wasim,8,16,22,2,0,47.43
Daryl Mitchell,5,109,85,5,1,112.67
Mitchell Santner,7,27,16,0,2,126.67
Ish Sodhi,8,7,7,0,0,100
Tim Southee,8,5,3,1,0,225
Kasun Rajitha,10,8,21,0,0,38.09
Lahiru Kumara,11,4,5,1,0,80
Stephan Myburgh,1,51,48,8,1,97.38
Fakhar Zaman,3,20,16,3,0,125
Deepak Hooda,5,0,3,0,0,0
Bhuvneshwar Kumar,9,4,6,0,0,66.66
Mohammed Shami,10,0,2,0,0,0
Arshdeep Singh,11,2,1,0,0,200
Gulbadin Naib,4,51,37,3,2,127.64
Sam Curran,7,12,14,0,1,127.27
Mohammad Haris,3,97,67,6,6,152.2
Naseem Shah,9,5,3,0,0,166.66
Heinrich Klaasen,6,36,27,3,1,141.66
Kagiso Rabada,8,10,10,0,0,81.25
Anrich Nortje,10,5,6,1,0,210
Lungi Ngidi,10,4,1,1,0,400
Tabraiz Shamsi,11,1,1,0,0,100
Cameron Green,2,3,2,0,0,150
Steven Smith,4,4,4,1,0,100
Matthew Wade(c),7,6,8,1,0,75
Kane Richardson,9,1,1,0,0,100
Darwish Rasooli,7,15,13,1,0,115.38
Naveen-ul-Haq,9,0,0,0,0,0
Chris Woakes,8,5,3,1,0,166.66
Keshav Maharaj,8,13,12,0,1,108.33
Nasum Ahmed,9,7,6,1,0,116.66
Rishabh Pant,6,9,9,1,0,105
Wellington Masakadza,8,1,7,0,0,14.28
Phil Salt,3,10,9,2,0,111.11
