"Scorecard_name","Scorecard_url","Scorecard_selection1_name","Scorecard_selection1_url","Scorecard_selection1_Image"
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Maheesh Theekshana","https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Dushmantha Chameera","https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Pramod Madushan","https://www.espncricinfo.com/cricketers/pramod-madushan-826689",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Chamika Karunaratne","https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Wanindu Hasaranga","https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Gerhard Erasmus","https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","David Wiese","https://www.espncricinfo.com/cricketers/david-wiese-221140",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Bernard Scholtz","https://www.espncricinfo.com/cricketers/bernard-scholtz-330223",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Ben Shikongo","https://www.espncricinfo.com/cricketers/ben-shikongo-1069820",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","JJ Smit","https://www.espncricinfo.com/cricketers/jj-smit-553821",""
"T20I # 1823","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard","Jan Frylinck","https://www.espncricinfo.com/cricketers/jan-frylinck-482478",""
"T20I # 1825","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/netherlands-vs-united-arab-emirates-2nd-match-first-round-group-a-1298136/full-scorecard","Fred Klaassen","https://www.espncricinfo.com/cricketers/fred-klaassen-1104703",""
"T20I # 1825","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/netherlands-vs-united-arab-emirates-2nd-match-first-round-group-a-1298136/full-scorecard","Tim Pringle","https://www.espncricinfo.com/cricketers/tim-pringle-1193548",""
"T20I # 1825","https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/netherlands-vs-united-arab-emirates-2nd-match-first-round-group-a-1298136/full-scorecard","Logan van Beek","https://www.espncricinfo.com/cricketers/logan-van-beek-440522",""
