bowlerName,Overs,Maiden,Runs Concided,Wickets,Economy,Balls Bowled
Maheesh Theekshana,30.1,0,202,9,6.67,181
Dushmantha Chameera,7.5,0,54,4,6.83,47
Pramod Madushan,10,0,75,3,7.3,60
Chamika Karunaratne,18,0,144,3,7.79,108
Wanindu Hasaranga de Silva,31,1,199,15,6.77,186
Gerhard Erasmus,4,0,21,0,6.16,24
David Wiese,10.3,0,65,3,6.52,63
Bernard Scholtz,12,0,61,4,5.08,72
Ben Shikongo,5,1,48,3,11.11,30
JJ Smit,11,0,79,3,7.03,66
Jan Frylinck,11,1,72,3,6.83,66
Fred Klaassen,30,0,191,8,6.4,180
Tim Pringle,17,0,102,3,6.68,102
Logan van Beek,16.2,0,125,3,7.36,98
Bas de Leede,22,0,169,13,7.88,132
Paul van Meekeren,31,0,198,11,6.53,186
Roelof van der Merwe,11,0,75,2,7.03,66
Junaid Siddique,12,0,95,4,7.92,72
Basil Hameed,5,0,37,3,8.55,30
Aayan Afzal Khan,8,0,38,2,4.61,48
Karthik Meiyappan,12,0,75,5,6.25,72
Zahoor Khan,12,0,57,5,4.75,72
Zawar Farid,2.5,0,24,0,8.47,17
Kashif Daud,2,0,19,0,9.5,12
Kyle Mayers,3,0,41,0,14.5,18
Akeal Hosein,12,0,94,2,7.83,72
Alzarri Joseph,12,0,83,6,6.92,72
Obed McCoy,9.3,0,71,1,7.46,57
Jason Holder,10.2,0,49,5,4.67,62
Odean Smith,9,0,85,2,9.86,54
Mark Watt,12,0,70,5,5.83,72
Brad Wheal,12,0,83,4,6.92,72
Josh Davey,10,0,96,3,9.39,60
Safyaan Sharif,8.6,0,78,2,8.81,54
Michael Leask,10,0,67,4,6.92,60
Josh Little,27,0,189,11,6.94,162
Mark Adair,24,0,212,4,8.5,144
Barry McCarthy,25,0,227,5,8.92,150
Curtis Campher,8,0,74,2,9.04,48
Simi Singh,9,0,78,3,8.46,54
Gareth Delany,23.3,0,185,6,8.2,141
Richard Ngarava,28,1,197,9,7.96,168
Tendai Chatara,23,1,155,4,8.48,138
Blessing Muzarabani,26,0,199,12,7.57,156
Luke Jongwe,5,0,59,2,11.5,30
Sean Williams,18,0,111,5,6.09,108
Sikandar Raza,24,0,156,10,6.88,144
Colin Ackermann,7,0,37,1,5,42
Timm van der Gugten,6,0,60,1,10,36
Jan Nicol Loftie-Eaton,1,0,8,0,8,6
Aryan Lakra,3,0,24,1,8,18
Dasun Shanaka,3.1,0,24,1,7.67,19
George Dockrell,8,0,56,1,7.25,48
Chris Greaves,2,0,18,0,9,12
Ryan Burl,5,0,48,0,10,30
Dhananjaya de Silva,12.1,0,83,6,6.97,73
Lahiru Kumara,19.7,0,153,7,7.61,121
Binura Fernando,8.5,0,65,2,7,53
Ruben Trumpelmann,4,0,22,0,5.5,24
Ahmed Raza,1,0,9,0,9,6
Muhammad Waseem,2,0,16,1,8,12
Wessly Madhevere,3,0,25,0,8,18
Calum MacLeod,1,0,11,0,11,6
Mitchell Starc,12,1,102,3,8.5,72
Josh Hazlewood,15,0,124,5,8.25,90
Pat Cummins,16,0,132,3,8.25,96
Marcus Stoinis,9,0,87,1,9.25,54
Adam Zampa,12,0,80,5,6.67,72
Trent Boult,20,0,148,8,7.4,120
Tim Southee,17.2,1,114,7,6.27,104
Mitchell Santner,20,0,129,9,6.45,120
Lockie Ferguson,19,0,159,7,8.28,114
Ish Sodhi,19.2,0,130,6,6.71,116
Ben Stokes,16.2,0,111,6,7.2,98
Chris Woakes,20,0,172,5,8.76,120
Mark Wood,14,0,108,9,7.81,84
Sam Curran,22.4,0,148,13,6.63,136
Adil Rashid,24,1,147,4,6.12,144
Fazalhaq Farooqi,11.3,1,75,3,6.51,69
Azmatullah Omarzai,3.1,0,28,0,8.96,19
Mujeeb Ur Rahman,12,0,88,4,7.33,72
Rashid Khan,12,0,77,4,6.42,72
Fareed Ahmad,4,0,48,1,12,24
Mohammad Nabi,6,0,46,1,9.11,36
Bhuvneshwar Kumar,18.4,3,115,4,6.56,112
Arshdeep Singh,20,0,156,10,7.5,120
Mohammed Shami,20,0,143,6,7.43,120
Hardik Pandya,18,0,146,8,8.29,108
Ravichandran Ashwin,19,0,155,6,8.69,114
Axar Patel,13.2,0,115,3,10.2,80
Shaheen Shah Afridi,25.1,0,155,11,6.09,151
Naseem Shah,26,0,162,3,6.19,156
Haris Rauf,26,1,178,8,7,156
Shadab Khan,26,0,165,11,6.46,156
Mohammad Nawaz,9,0,67,3,6,54
Shariz Ahmad,4,0,32,1,7,24
Taskin Ahmed,18,1,131,8,7.75,108
Hasan Mahmud,16,1,134,6,8.38,96
Shakib Al Hasan,19,0,167,6,8.9,114
Mustafizur Rahman,20,0,112,3,5.6,120
Soumya Sarkar,3,0,29,1,9.66,18
Mosaddek Hossain,7,0,64,2,10.17,42
Kagiso Rabada,16,0,151,2,9.57,96
Wayne Parnell,16,1,102,5,6.3,96
Lungi Ngidi,13,0,116,7,9.23,78
Keshav Maharaj,12,0,89,3,8.02,72
Anrich Nortje,17.3,0,94,11,5.27,105
Ashton Agar,4,0,25,1,6.25,24
Mitchell Marsh,1,0,14,0,14,6
Glenn Maxwell,3.1,0,19,3,5.73,19
Liam Livingstone,12,0,96,3,9.06,72
Fionn Hand,5,0,54,1,11.5,30
Mehidy Hasan Miraz,3,0,32,0,10.66,18
Afif Hossain,1,0,11,1,11,6
Tabraiz Shamsi,8,0,56,4,7,48
Mohammad Wasim,17,0,124,8,7.33,102
Brad Evans,7,0,57,2,8.46,42
Kasun Rajitha,11,0,94,3,8.94,66
Brandon Glover,8.5,1,60,7,6.5,53
Aiden Markram,3,0,21,1,6.5,18
Gulbadin Naib,4,0,43,0,11.16,24
Moeen Ali,2,0,9,0,4.5,12
Shoriful Islam,4,0,57,0,14.25,24
